,Unnamed: 0,Feeder_Category,CABLE_SIZE,No_of_times_exceeded_60_,LENGTH_OF_CABLE_MTRS_,NO__OF_JOINTS,AGE_YRS_,PILC,XLPE,DATE_ONLY,Average_Current,Peak_Current,Average_voltage,Peak_Voltage,target,Avg_Heat_Index,Peak_HI,Avg_humidity,Max_Humidity,Avg_TEMP,Max_TEMP,New_Summer,New_Monsoon,New_Winter,Feeder,Switch,Section Id,Pathid,Lat,Long,Feeder_Switch_ID_V1,Customer At Risk,Fee_Sw_Refe_ID
49,49,0,0,0,1381.0,24.0,25.0,1,1,24-06-2016,17.19239583,80.31,10.2009375,11.2,1,32.62931506,42.41436965,95.79291667,100.0,27.39083333,30.79,1,0,0,30462,10501,10501-7990-2,ShapurBaug,20.18196849,74.12586649,30462_10501_50,43,30850_11936_244
50,50,0,0,0,580.6,7.0,22.75098814229249,1,0,28-06-2016,0.1,0.1,10.93572917,11.21,0,30.10608281,37.25290017,99.2084375,100.0,26.51177083,28.71,1,0,0,30462,12850,37574-12850-5,OperaHouse,19.46219573,74.58374887,30462_12850_51,48,30850_13671_280
51,51,0,2,0,1365.93,26.0,31.0,1,1,30-06-2016,29.98,29.98,11.11697917,11.52,0,29.72093144,37.48469857,97.52875,100.0,26.44770833,29.27,1,0,0,30462,12850,37574-12850-5,CawasjiPatelTank,18.41495889,74.70083275,30462_12850_52,27,30850_13671_280
52,52,1,0,0,849.0,18.0,40.0,1,1,04-07-2016,9.505520833,129.62,10.98614583,11.25,1,30.13895833,37.34,99.0715625,100.0,26.5175,28.91,0,1,0,30462,12850,37574-12850-5,GulalWadi,19.75846379,74.16909578,30462_12850_53,49,30850_13671_280
53,53,0,0,0,691.21,4.0,26.0,1,1,15-07-2016,12.21,12.21,11.10635417,11.35,0,32.168125,40.46,95.5209375,100.0,27.290625,30.23,0,1,0,30462,12850,37574-12850-5,Khotachiwadi,18.18068188,73.55107032,30462_12850_54,43,30850_13671_280
54,54,2,0,0,544.7,10.0,20.0,1,0,17-07-2016,43.659375,62.6,10.998125,11.19,0,32.831875,39.31,95.935625,100.0,27.47177083,29.92,0,1,0,30462,12850,37574-12850-5,Ambewadi,19.77459706,74.19212077,30462_12850_55,26,30850_13671_280
55,55,0,2,0,384.0,1.0,22.75098814229249,1,0,07-08-2016,0.0,0.0,11.0975,11.39,0,31.38821023,37.81135972,96.79239583,100.0,26.98135417,29.02,0,1,0,30462,12850,37574-12850-5,GaneshWadi,18.33222117,74.87387088,30462_12850_56,26,30850_13671_280
56,56,1,0,0,2173.8,11.0,15.0,1,0,10-08-2016,0.1,0.1,11.05166667,11.3,0,32.00023099,35.57753315,91.71572917,97.36,27.366875,28.65,0,1,0,30462,12850,37574-12850-5,Khetwadi,18.40503443,73.81266214,30462_12850_57,35,30850_13671_280
57,57,0,1,0,811.2,2.0,12.0,0,1,12-08-2016,11.32083333,135.97,11.14322917,11.38,1,33.92877412,40.42670174,96.26354167,100.0,27.75052083,29.9,0,1,0,30462,12850,37574-12850-5,Bhatwadi,18.13152288,73.86521843,30462_12850_58,42,30850_13671_280
58,58,0,1,0,1130.5,4.0,10.0,0,1,14-08-2016,33.1853125,40.53,11.015,11.22,1,33.55463988,38.37249507,94.17416667,99.95,27.7365625,29.33,0,1,0,30462,12850,37574-12850-5,ShapurBaug,19.27296209,73.36743388,30462_12850_59,39,30850_13671_280
59,59,1,1,0,533.7,7.0,21.0,1,0,21-08-2016,25.29,37.4,11.01708333,11.1,1,35.7783619,41.9099686,92.88520833,100.0,28.45354167,30.58,0,1,0,30462,12850,37574-12850-5,MangalWadi,20.00834311,73.88111608,30462_12850_60,31,30850_13671_280
60,60,0,1,0,1480.5,10.0,10.0,0,1,28-08-2016,11.8915625,43.13,10.96697917,11.18,1,30.2739905,37.14978937,99.5959375,100.0,26.52864583,28.6,0,1,0,30462,12850,37574-12850-5,OperaHouse,20.80702892,73.71287894,30462_12850_61,26,30850_13671_280
61,61,0,1,0,1130.5,4.0,10.0,0,1,06-09-2016,42.48,42.48,11.06322917,11.23,0,33.09106028,40.8744548,87.51125,93.81,27.95010417,30.97,0,1,0,30462,12850,37574-12850-9,ApolloBandar,20.0473643,73.46690006,30462_12850_62,39,30850_13671_280
62,62,1,0,0,2202.4,15.0,20.0,1,0,10-09-2016,2.0,2.0,11.183125,11.43,0,32.43936148,40.88779623,93.59166667,100.0,27.48052083,30.52,0,1,0,30462,12850,37574-12850-4,AzadNagar,20.51641492,73.71292277,30462_12850_63,28,30850_13669_260
63,63,0,2,0,201.6,4.0,42.0,1,1,21-09-2016,15.79510417,88.18,11.03427083,11.25,1,26.35729366,31.28649383,99.32291667,100.0,25.32489583,26.97,0,1,0,30462,12850,37574-12850-5,MachimarNagar,20.29223983,74.26147462,30462_12850_64,31,30850_13669_260
64,64,1,2,0,1613.43,21.0,22.75098814229249,1,1,23-09-2016,29.79,29.79,11.12864583,11.26,0,29.52338843,36.15538116,99.8271875,100.0,26.28666667,28.16,0,1,0,30462,12850,37574-12850-5,GaneshMurtiNagar,19.30654634,73.53613869,30462_12850_65,25,30850_13669_260
65,65,1,0,0,1275.3,10.0,20.0,1,0,25-09-2016,0.1,0.1,10.84520833,11.09,0,29.43401635,34.65421466,95.07885417,100.0,26.3603125,28.27,0,1,0,30462,12850,37574-12850-5,MachimarNagar,19.44989542,73.87336002,30462_12850_66,48,30850_13669_260
66,66,0,1,0,1340.0,5.0,10.0,0,1,04-10-2016,0.0,0.0,11.03458333,11.28,0,27.15715459,30.7661533,98.23958333,100.0,25.6159375,26.91,0,1,0,30462,12850,37574-12850-5,ApolloBandar,19.30299114,74.05459813,30462_12850_67,50,30850_13669_260
